zid,pid,tid,vote,weight_x_32767,created
31,12,3,1,0,1729071508875
31,12,6,1,0,1729071530264
28,11,3,-1,0,1729071740223
30,13,6,-1,0,1729071983393
28,12,11,1,0,1729072127207
28,12,10,0,0,1729072154223
29,13,5,-1,0,1729072317893
28,14,16,-1,0,1729072676692
29,15,1,0,0,1729073071792
28,15,7,0,0,1729073534778
28,15,17,1,0,1729073691174
34,23,1,-1,0,1729075237085
29,16,3,-1,0,1729075442389
29,15,3,-1,0,1729075564281
34,24,2,0,0,1729077270487
34,25,8,-1,0,1729077470282
34,26,5,-1,0,1729079922374
28,19,13,-1,0,1729081663735
26,16,3,1,0,1729081894885
29,17,8,-1,0,1729082068392
34,28,9,0,0,1729084530100
28,20,5,-1,0,1729088549787
28,20,11,1,0,1729088571673
28,20,15,0,0,1729088582975
30,18,2,-1,0,1729096266592
34,29,7,-1,0,1729096579107
31,17,7,0,0,1729104287174
30,19,6,-1,0,1729123103701
29,21,4,0,0,1729133734874
30,20,0,1,0,1729136465949
34,33,7,-1,0,1729155024689
28,21,16,-1,0,1729157984875
26,21,3,-1,0,1729182520190
34,35,7,1,0,1729209105599
28,22,6,-1,0,1729209253790
30,21,4,-1,0,1729210945355
28,23,13,-1,0,1729243601295
28,23,8,-1,0,1729243701173
30,22,2,0,0,1729243904174
34,37,10,1,0,1729257346374
34,38,9,-1,0,1729257993076
34,39,10,0,0,1729258111685
28,24,12,-1,0,1729258211374
28,25,9,1,0,1729258227571
28,24,1,-1,0,1729258235888
28,27,17,1,0,1729258373874
28,27,13,1,0,1729258501272
31,24,3,-1,0,1729258633987
28,29,17,1,0,1729258922324
30,34,4,-1,0,1729259097883
26,24,5,-1,0,1729259691011
30,37,2,-1,0,1729259721474
29,26,9,-1,0,1729259813179
28,30,17,-1,0,1729259976118
28,30,6,-1,0,1729259984778
30,42,0,-1,0,1729260173877
30,42,4,-1,0,1729260179875
30,43,4,-1,0,1729260320392
28,32,5,1,0,1729260463192
29,30,0,0,0,1729260661594
29,31,3,1,0,1729261150702
28,34,3,-1,0,1729261313975
30,48,0,1,0,1729262101674
30,50,1,-1,0,1729262309586
31,28,2,1,0,1729262318982
30,51,2,1,0,1729262331478
29,34,8,1,0,1729262492174
34,47,4,-1,0,1729262501088
31,30,6,1,0,1729262597313
28,35,13,0,0,1729262607737
26,28,1,-1,0,1729262623374
28,38,14,0,0,1729262841880
28,38,13,0,0,1729262842965
31,32,2,-1,0,1729262846194
28,36,12,-1,0,1729262858782
29,36,1,0,0,1729262863274
28,39,9,1,0,1729262904788
26,29,0,-1,0,1729262913791
31,33,0,-1,0,1729262922974
26,29,7,-1,0,1729262929175
28,39,2,1,0,1729262938273
26,30,4,-1,0,1729262984285
26,30,6,-1,0,1729262990358
26,30,7,-1,0,1729263007274
34,52,3,1,0,1729263180974
30,58,6,-1,0,1729263390773
30,61,6,-1,0,1729263576174
29,38,4,0,0,1729263694205
26,32,7,-1,0,1729263869691
30,64,3,0,0,1729263990280
28,41,3,0,0,1729264114174
28,6,12,0,0,1728978602579
28,7,0,-1,0,1728978606283
28,7,10,0,0,1728978609375
29,1,1,0,0,1728979055701
30,1,6,-1,0,1728979658676
30,2,5,0,0,1728979659820
30,3,4,1,0,1728979660974
30,4,1,0,0,1728979661758
30,5,0,0,0,1728979662957
31,6,7,1,0,1728980599502
34,1,4,-1,0,1728996259489
34,5,0,1,0,1728996265084
34,8,4,1,0,1728996271896
34,9,4,0,0,1728996274677
34,9,10,0,0,1728996275473
34,11,0,-1,0,1729006496485
31,10,3,1,0,1729006724231
29,10,0,-1,0,1729006879718
34,12,4,-1,0,1729007251975
26,11,7,-1,0,1729040732074
34,14,5,-1,0,1729058597292
34,16,3,1,0,1729070960503
31,11,1,1,0,1729071321092
34,18,0,-1,0,1729071514278
34,18,1,0,0,1729071525982
28,11,14,-1,0,1729071742923
34,19,11,1,0,1729071996129
28,12,17,-1,0,1729072130183
29,13,1,-1,0,1729072323490
28,14,11,-1,0,1729072682988
29,15,2,1,0,1729073094666
28,15,8,0,0,1729073536875
30,16,0,0,0,1729073724093
30,16,6,-1,0,1729073738088
34,23,2,0,0,1729075250128
29,16,4,-1,0,1729075448360
31,15,3,0,0,1729075474272
31,15,7,0,0,1729075489484
28,17,1,0,0,1729075570290
34,24,0,-1,0,1729077273075
34,25,9,1,0,1729077473825
34,26,6,-1,0,1729079924897
28,19,14,1,0,1729081669085
26,16,4,-1,0,1729081902778
29,17,9,-1,0,1729082076500
34,28,10,-1,0,1729084553786
28,20,7,1,0,1729088557473
28,20,13,1,0,1729088576974
30,18,3,-1,0,1729096268474
34,29,8,-1,0,1729096582348
31,17,0,1,0,1729104292198
29,20,0,0,0,1729123303368
29,21,1,1,0,1729133751908
30,20,1,-1,0,1729136471022
34,33,9,0,0,1729155027378
28,21,5,0,0,1729157995273
26,21,4,-1,0,1729182524797
34,35,6,0,0,1729209111573
28,22,9,-1,0,1729209260036
28,22,15,-1,0,1729209282971
30,21,6,-1,0,1729210951973
28,23,14,-1,0,1729243606373
28,23,12,1,0,1729243704974
30,23,0,1,0,1729248460589
34,37,2,1,0,1729257350174
29,24,1,0,0,1729257995037
34,40,9,1,0,1729258112136
28,24,15,-1,0,1729258218026
28,27,6,1,0,1729258391780
28,28,7,1,0,1729258501989
28,28,4,1,0,1729258640249
31,24,0,1,0,1729258659575
28,29,13,-1,0,1729258925555
34,43,3,-1,0,1729259132991
26,24,1,1,0,1729259693964
29,26,2,-1,0,1729259826774
28,30,12,-1,0,1729259987307
31,26,1,1,0,1729260000386
31,26,4,0,0,1729260005374
30,40,6,-1,0,1729260010976
28,31,15,1,0,1729260030884
34,45,3,1,0,1729260175535
30,42,6,-1,0,1729260185939
34,45,10,-1,0,1729260193825
29,28,4,0,0,1729260330682
28,32,8,0,0,1729260465220
29,30,5,-1,0,1729260664709
29,31,5,-1,0,1729261153878
30,47,6,-1,0,1729261351297
30,48,1,1,0,1729262117816
29,33,1,1,0,1729262311372
30,50,2,0,0,1729262315776
34,47,6,0,0,1729262493195
30,53,6,-1,0,1729262640379
28,38,8,0,0,1729262842677
28,39,12,1,0,1729262984673
28,39,0,1,0,1729262989073
34,52,0,1,0,1729263185173
30,58,4,-1,0,1729263396372
30,62,2,0,0,1729263578279
26,31,2,1,0,1729263599089
29,38,6,0,0,1729263695880
34,54,3,-1,0,1729263710692
26,32,6,-1,0,1729263875390
30,64,6,-1,0,1729263993186
30,64,4,-1,0,1729263998696
30,66,3,0,0,1729264117804
34,55,8,-1,0,1729264296192
30,68,4,0,0,1729264414392
28,42,4,-1,0,1729264556569
30,69,1,0,0,1729264922193
28,43,7,0,0,1729265140192
34,56,9,1,0,1729265335086
30,71,4,-1,0,1729265481305
26,34,5,-1,0,1729265615573
26,35,3,1,0,1729265638276
30,73,5,-1,0,1729265645685
30,73,0,-1,0,1729265656004
30,74,5,-1,0,1729265694516
30,74,3,-1,0,1729265725373
30,74,2,-1,0,1729265728873
29,44,5,-1,0,1729265792081
29,46,0,0,0,1729265848392
28,44,13,-1,0,1729265895905
28,44,6,-1,0,1729265907604
26,36,1,-1,0,1729265933174
28,44,8,-1,0,1729265946101
26,36,1,-1,0,1729265956151
29,46,1,0,0,1729265968674
28,44,11,0,0,1729265984489
28,45,13,0,0,1729266000573
28,45,5,-1,0,1729266012972
28,45,15,1,0,1729266022230
28,45,4,-1,0,1729266028073
29,43,0,0,0,1729266058782
28,45,2,0,0,1729266098102
28,45,12,-1,0,1729266129274
31,36,0,0,0,1729266193195
28,6,13,0,0,1728978603477
28,7,1,-1,0,1728978606482
28,7,7,0,0,1728978608579
28,7,15,0,0,1728978610320
28,8,3,-1,0,1728978612679
28,8,5,0,0,1728978613176
29,1,3,0,0,1728979056674
29,2,2,0,0,1728979058979
29,2,6,-1,0,1728979059326
29,2,8,0,0,1728979059426
29,3,5,-1,0,1728979061276
29,4,0,0,0,1728979062197
29,4,8,-1,0,1728979062679
29,4,10,1,0,1728979062776
29,5,9,0,0,1728979063959
29,6,8,-1,0,1728979066274
29,7,7,0,0,1728979067908
30,2,2,-1,0,1728979659578
30,6,2,-1,0,1728979664880
30,6,6,-1,0,1728979665492
30,8,6,-1,0,1728979668474
30,9,3,-1,0,1728979669520
31,7,1,1,0,1728980600375
31,7,5,-1,0,1728980600720
31,7,7,1,0,1728980600817
31,8,3,-1,0,1728980601872
34,1,6,1,0,1728996259675
34,1,8,0,0,1728996259878
34,1,10,0,0,1728996259988
34,2,6,-1,0,1728996261321
34,2,8,0,0,1728996261422
34,2,10,0,0,1728996261582
34,5,4,1,0,1728996265422
34,5,8,0,0,1728996265589
34,6,8,0,0,1728996267328
34,6,10,-1,0,1728996267427
34,7,2,1,0,1728996268476
34,9,0,-1,0,1728996273883
34,11,1,-1,0,1729006503385
31,10,4,-1,0,1729006727787
29,10,1,1,0,1729006883125
34,12,5,-1,0,1729007273708
34,13,0,-1,0,1729041878084
34,14,3,-1,0,1729058599908
34,16,11,0,0,1729070965540
34,16,0,0,0,1729070979973
31,11,6,0,0,1729071339811
31,12,0,-1,0,1729071527275
28,11,14,-1,0,1729071744474
34,20,8,-1,0,1729072010485
34,20,5,-1,0,1729072035397
28,12,17,-1,0,1729072131400
28,12,3,-1,0,1729072140674
29,13,1,-1,0,1729072325774
29,13,6,-1,0,1729072333183
28,14,1,1,0,1729072686097
29,15,3,0,0,1729073104092
28,15,9,0,0,1729073547473
30,16,1,1,0,1729073726092
34,23,3,-1,0,1729075254197
29,16,5,-1,0,1729075450174
28,17,2,1,0,1729075571695
34,24,1,-1,0,1729077275676
34,25,10,1,0,1729077480881
34,26,7,-1,0,1729079934449
28,19,15,-1,0,1729081674308
26,16,5,-1,0,1729081905988
29,17,10,1,0,1729082083572
34,28,11,0,0,1729084557374
28,20,8,1,0,1729088561736
28,20,12,-1,0,1729088573596
30,18,4,0,0,1729096273612
34,29,9,-1,0,1729096589683
31,17,5,1,0,1729104296075
31,17,4,-1,0,1729104300181
29,20,1,1,0,1729123311082
29,21,8,-1,0,1729133757292
